gene	mean_A	mean_B	log2FC	p_ttest	p_mannwhitney	p_ttest_fdr	p_mannwhitney_fdr
CHODL	0.6426961602671118	-0.10553719008264459	-0.7482333503497565	1.2390989666032848e-15	1.5437334954659623e-07	2.8894351264705583e-13	3.0768637895396036e-06
IGF2BP3	0.7602048417132217	-0.08115384615384615	-0.8413586878670678	1.3931267180536526e-15	6.751184409875723e-09	3.2022012704976097e-13	2.1933981659307066e-07
SHROOM1	-0.0312353923205342	1.1285450819672131	1.1597804742877473	1.7284066179258068e-15	4.1697435095542263e-16	3.916910208792427e-13	3.3639822737679676e-13
SLC22A23	-0.30587646076794656	0.22084016393442624	0.5267166247023728	1.9718674272300308e-15	2.5152588332218704e-11	4.4065759589071105e-13	2.013105373303647e-09
CROT	-0.29255425709515864	0.3733196721311474	0.6658739292263061	2.0012677279472272e-15	1.823523973669229e-13	4.4110133894069707e-13	4.041610442300515e-11
FOXM1	0.22038397328881468	-0.593893442622951	-0.8142774159117656	2.038243142077688e-15	3.59562979560473e-15	4.4318016427067565e-13	1.7266727939893288e-12
SPTLC2	-0.16145242070116855	0.28235655737704923	0.4438089780782178	2.2206173340646956e-15	1.773608436281313e-14	4.763964387346793e-13	5.985329659491773e-12
ITPRIPL2	-0.3063272120200334	0.23329918032786884	0.5396263923479022	2.4875914757291248e-15	2.697067321490863e-16	5.266493005852845e-13	2.719857540357461e-13
CENPE	0.03389816360601002	-0.6947745901639345	-0.7286727537699446	2.7276443443027127e-15	1.2202151595913807e-15	5.699713961016967e-13	7.938877275418889e-13
NEIL3	0.10781348580968282	-0.6623971290983607	-0.7702106149080435	2.7933761324173798e-15	4.0711965829619693e-16	5.7622335859738e-13	3.3639822737679676e-13
ZMYND10	-0.6503068101933216	0.3749592302904565	1.0252660404837781	2.923104835087027e-15	4.620331632540891e-12	5.953513518550667e-13	4.867436749440075e-10
ZG16B	-0.6319449081803004	0.261127049180328	0.8930719573606283	3.0054279364254965e-15	4.9265277612165354e-11	6.044666937135781e-13	3.5614028106084695e-09
VWA2	-0.775391304347826	0.4149375	1.190328804347826	3.073472875138584e-15	8.069179585566753e-14	6.105207229750595e-13	2.113601078718128e-11
EXOC6	-0.22572621035058432	0.1976024590163934	0.4233286693669777	3.3940900384574455e-15	1.1006886420005998e-14	6.659866916924426e-13	4.350591527888133e-12
CYB5A	-0.35425709515859766	0.25850622406639	0.6127633192249877	3.621904897439581e-15	3.44718555147176e-12	7.021259012024442e-13	4.0188604270308633e-10
SLC40A1	-0.4380884808013356	0.7026141078838174	1.140702588685153	3.71095909667834e-15	1.3281948077291164e-14	7.108253793518393e-13	4.8706111049251915e-12
C5orf36	-0.3550417362270452	0.1824795081967212	0.5375212444237665	3.845764082855681e-15	6.8965628138606865e-12	7.279805187429165e-13	6.67150770753927e-10
RRP1B	0.1851919866444073	-0.07651639344262295	-0.26170838008703023	3.901629003382637e-15	5.57579717832482e-10	7.299675658654259e-13	2.7767469948057604e-08
SNRPA1	0.2451001669449082	-0.13274590163934427	-0.37784606858425246	4.118811659850332e-15	5.304248153262391e-13	7.546972083877231e-13	9.30079260150918e-11
ANLN	0.18911519198664442	-0.5685860655737704	-0.7577012575604148	4.127616801623346e-15	3.0458313413790198e-15	7.546972083877231e-13	1.4992282020575122e-12
CDC25A	0.22342237061769618	-0.5252049180327869	-0.7486272886504831	4.1788032697830145e-15	1.8969568256832388e-14	7.554712877618956e-13	6.272085609377909e-12
SKA1	0.1573205342237062	-0.6387090163934426	-0.7960295506171488	4.2835665924219924e-15	4.037161420559101e-15	7.658065163563317e-13	1.893616481192012e-12
BNIP3L	-0.12661936560934892	0.2675204918032787	0.3941398574126276	4.443036728637803e-15	2.174160704764128e-14	7.854282864651077e-13	7.072685041030273e-12
DEPDC1	0.1421702838063439	-0.6345901639344262	-0.7767604477407701	4.490951047532002e-15	2.2999913805567032e-14	7.854282864651077e-13	7.248207211632523e-12
CCNA2	0.1527378964941569	-0.5732581967213115	-0.7259960932154684	5.2329714934505376e-15	2.996562453049863e-15	9.053603368776253e-13	1.4992282020575122e-12
C2orf77	-0.3934468113522537	0.21676294262295087	0.6102097539752045	5.335465122391526e-15	6.678529285451988e-13	9.132727002051026e-13	1.0690417234784217e-10
C14orf143	-0.1125542570951586	0.20067622950819675	0.31323048660335534	5.92085937035342e-15	9.869139114905547e-14	1.0028066028314371e-12	2.5259223655567457e-11
ACOT4	-0.41113522537562597	0.2201867219917013	0.6313219473673273	6.3733177906786984e-15	5.126045967460329e-12	1.0681946172085442e-12	5.222419925593303e-10
GPR160	-0.49450751252086816	0.14786885245901635	0.6423763649798845	6.645214542875387e-15	4.8636835140610445e-08	1.1014047441443245e-12	1.1581538700719859e-06
BLM	0.1388569974958264	-0.5073150368852459	-0.6461720343810723	6.708369479561454e-15	1.378836836877919e-14	1.1014047441443245e-12	4.878905291752763e-12
ARHGAP11A	0.11277963272120202	-0.5189344262295082	-0.6317140589507103	7.271958732487338e-15	5.9070958500548606e-15	1.1818769293507199e-12	2.6475603599945886e-12
IFT46	-0.13019198664440731	0.2981762295081967	0.428368216152604	7.508984868427069e-15	7.069776994202409e-14	1.2081956653299153e-12	1.8950530579381592e-11
SEPT3	0.35186143572621054	-0.6276434426229506	-0.9795048783491611	8.902017668198095e-15	1.0356065164197013e-13	1.4181531116961125e-12	2.5786602258850565e-11
ALKBH1	-0.09278797996661102	0.1769672131147541	0.26975519308136514	9.333107964503675e-15	2.178259710062418e-12	1.472252030871217e-12	2.7631018925942713e-10
ESYT3	0.7341457858769933	-0.22773684210526307	-0.9618826279822563	9.593001557937215e-15	2.8031192641748525e-11	1.498557233662231e-12	2.2171024485938274e-09
C9orf25	0.196118530884808	-0.14543032786885246	-0.3415488587536605	9.7409152290673e-15	6.347353095165574e-13	1.5070319811124314e-12	1.0324174562612457e-10
FAM64A	0.20266277128547577	-0.5643442622950819	-0.7670070335805577	1.0135207626573922e-14	1.0945420772315188e-14	1.5530999115388037e-12	4.350591527888133e-12
TBC1D2	-0.17998330550918198	0.16776639344262292	0.3477496989518049	1.1018956907877868e-14	6.93875621766135e-13	1.672594496676933e-12	1.093341985578217e-10
XBP1	-0.6072120200333889	0.05803278688524594	0.6652448069186349	1.198185004976868e-14	4.068516584642372e-06	1.8017567037455894e-12	4.976222619505883e-05
KIAA0247	-0.14731218697829712	0.1630327868852459	0.310344973863543	1.269495996627185e-14	1.5225606268448297e-12	1.8913139431232786e-12	2.1474493204778581e-10
TMEM25	-0.22954090150250417	0.32549180327868854	0.5550327047811927	1.2838663073119061e-14	5.809017038114623e-13	1.895175127031979e-12	9.762391609427789e-11
ZCCHC24	-0.20457429048414025	0.3409631147540983	0.5455374052382386	1.3289405500714534e-14	5.349258474763572e-13	1.9310351771318733e-12	9.30079260150918e-11
BTD	-0.14350584307178635	0.27415983606557376	0.4176656791373601	1.3321622415266495e-14	1.2563138439826744e-14	1.9310351771318733e-12	4.6923322072752895e-12
NIP7	0.18560934891485817	-0.11754098360655735	-0.30315033252141554	1.3815604150486684e-14	3.0979080300343514e-11	1.9638148903889383e-12	2.4098960733892607e-09
GPX8	-0.2713772954924875	0.23920081967213114	0.5105781151646187	1.3978955921676094e-14	1.525904696580815e-13	1.9638148903889383e-12	3.4972695256066426e-11
CA12	-1.146803005008347	-0.025532786885245885	1.1212702181231011	1.4079451160094314e-14	5.782822964899559e-07	1.9638148903889383e-12	9.360654605060933e-06
GTSE1	0.15866444073455754	-0.5744057377049182	-0.7330701784394758	1.4123142642316752e-14	2.0808466246746644e-15	1.9638148903889383e-12	1.1657943214739808e-12
KPNA2	0.2202337228714524	-0.31022540983606556	-0.530459132707518	1.4158019097894147e-14	1.422526268869353e-13	1.9638148903889383e-12	3.3361549205611604e-11
CIRH1A	0.17575125208681136	-0.13317622950819671	-0.30892748159500805	1.7695420723870547e-14	8.692779775686417e-12	2.4334984568126248e-12	8.000446696565664e-10
WDR62	0.14557594741235394	-0.5159220573770491	-0.661498004789403	2.0345656701243695e-14	2.914144932523054e-14	2.7562868265115207e-12	8.90536199152386e-12
KIF18B	0.20115191986644396	-0.5796516393442623	-0.7808035592107063	2.038572671243434e-14	2.8415541022460566e-14	2.7562868265115207e-12	8.817123798184725e-12
ESR1	-1.5903005008347244	-0.08401639344262271	1.5062841073921016	2.0556520769507924e-14	1.7435028330424413e-06	2.7562868265115207e-12	2.39215705031517e-05
CENPA	0.1949748743718593	-0.6226458333333333	-0.8176207077051927	2.1643453527003052e-14	1.468553920349675e-14	2.8780427045411497e-12	5.106769658540102e-12
ZFYVE21	-0.15454090150250419	0.16436475409836063	0.3189056556008648	2.242219508866668e-14	9.561279316179404e-13	2.957156712923335e-12	1.4076017702775357e-10
JMJD5	-0.1330550918196995	0.19358606557377048	0.32664115739347	2.3122797476928565e-14	6.575110872823938e-12	3.0233717408449084e-12	6.437544232717768e-10
NEK11	-0.26137729549248745	0.23497950819672134	0.49635680368920876	2.3300068108438075e-14	1.0795435022540207e-14	3.0233717408449084e-12	4.350591527888133e-12
FNTB	-0.08582637729549249	0.1435655737704918	0.2293919510659843	2.3907937199519478e-14	3.244904849547945e-13	3.077429676322147e-12	6.463476273196705e-11
PVR	0.17080968280467446	-0.3171106557377049	-0.4879203385423794	2.4253700557712054e-14	5.281486109591516e-14	3.0971590632824365e-12	1.4794762964493235e-11
PTPRT	-0.9994156928213689	0.47975409836065575	1.4791697911820245	2.591395235356014e-14	2.6797897753129523e-15	3.283114121014037e-12	1.4607751345482954e-12
GPR63	0.2620652173913043	-0.18347736625514405	-0.44554258364644833	2.803589628634034e-14	1.8281711560841436e-10	3.5053790987477762e-12	1.092365933715859e-08
FAM114A2	-0.16588480801335562	0.13700819672131145	0.30289300473466707	2.8104033793565143e-14	7.496517713171645e-13	3.5053790987477762e-12	1.1630558904381455e-10
GPSM2	0.2145909849749583	-0.22006147540983603	-0.4346524603847943	3.0435317031717855e-14	3.2263399198281647e-11	3.766955777233387e-12	2.493181986322385e-09
HNMT	-0.27671953255425713	0.12772540983606556	0.4044449423903227	3.358440921016953e-14	1.4014159678073481e-12	4.0940480851363944e-12	2.0046211811848514e-10
FGD3	-0.30414023372287163	0.6555532786885245	0.9596935124113961	3.358696999614693e-14	4.390370769237886e-14	4.0940480851363944e-12	1.283324464416796e-11
ZNF238	-0.5828797996661101	0.561639344262295	1.144519143928405	3.4259816277101194e-14	6.540408601414719e-14	4.144664991718482e-12	1.7826148794855875e-11
GPC4	-0.2567863105175292	0.5100409836065574	0.7668272941240866	3.463282782795563e-14	3.2687519453917596e-13	4.147937732444985e-12	6.463476273196705e-11
QSOX2	0.09232053422370617	-0.2579098360655738	-0.35023037028928	3.480246077564158e-14	5.571248730450539e-13	4.147937732444985e-12	9.522586071564145e-11
SLC44A4	-1.2737312186978296	-0.032459016393442605	1.241272202304387	3.521872925792904e-14	3.347997810589669e-10	4.166686424706458e-12	1.8201015590777095e-08
PIF1	0.3404340567612688	-0.36733606557377046	-0.7077701223350392	3.712372431546174e-14	2.4790318633526504e-12	4.360005286392551e-12	3.08639466987405e-10
MYB	-0.6157345575959935	0.1266393442622949	0.7423739018582884	4.3377500523477995e-14	6.122149179763986e-08	5.035743402359175e-12	1.411172877790398e-06
C9orf98	-0.39604340567612684	0.26307377049180325	0.6591171761679301	4.3503314663015876e-14	1.154066773359694e-10	5.035743402359175e-12	7.389324683140212e-09
PRICKLE2	-0.38200333889816357	0.17639344262295079	0.5583967815211144	5.106491057283755e-14	5.306821335681085e-11	5.868817222263972e-12	3.795506365934461e-09
ORC1L	0.15905676126878132	-0.57672131147541	-0.7357780727441913	5.290943199603885e-14	1.1664676845657117e-13	6.037679154725284e-12	2.767821968235981e-11
PPP1R3C	-0.3748157453936348	0.6832780082987553	1.0580937536923902	5.4166742174059045e-14	2.3471102529213404e-12	6.137625926624015e-12	2.94030227895469e-10
PRR11	0.2259515859766277	-0.6039344262295081	-0.8298860122061358	5.472266423172548e-14	6.265125077545039e-13	6.157256416003238e-12	1.0273277047886657e-10
GPR1	-0.18953255425709517	0.6014754098360656	0.7910079640931608	6.049767073093635e-14	4.688060625682102e-14	6.759774458755318e-12	1.3507642108483189e-11
C16orf80	0.08390651085141904	-0.18682377049180332	-0.27073028134322236	7.069172254916999e-14	3.4905521247011607e-12	7.844343557352725e-12	4.0229111887484405e-10
LARP4B	0.1323873121869783	-0.10038934426229507	-0.23277665644927337	7.458467113304541e-14	4.458040923308835e-11	8.2196394419911e-12	3.2460009885276493e-09
EPR1	0.1118363939899833	-0.6885450819672132	-0.8003814759571966	7.515722649297574e-14	1.090511987739563e-14	8.226393022258365e-12	4.350591527888133e-12
MND1	0.20193656093489148	-0.5767418032786884	-0.7786783642135799	7.643813016822077e-14	1.0456934261975437e-15	8.310064286531569e-12	7.272617487233883e-13
PIGH	-0.12070116861435728	0.17989754098360655	0.30059870959796386	7.828837835868386e-14	1.3604092460049408e-12	8.454094012021633e-12	1.959863863048118e-10
KCNG1	0.5680485762144054	-0.3399382716049383	-0.9079868478193437	8.216034136052947e-14	6.06359602754548e-09	8.813065949939461e-12	2.0015821322351028e-07
UBA2	0.17323038397328883	-0.05725409836065573	-0.23048448233394456	8.895870800516462e-14	8.353863002981524e-09	9.479110011941051e-12	2.6203586766272834e-07
NPNT	-0.5580050083472453	0.29401639344262304	0.8520214017898684	9.190578242353944e-14	9.091639505461383e-10	9.728710784175985e-12	4.205717366643363e-08
ENOPH1	0.13127712854757934	-0.1419672131147541	-0.27324434166233347	9.438822551201663e-14	1.898230661377492e-12	9.926186591427109e-12	2.5187772506133313e-10
PRC1	0.14212854757929885	-0.4483401639344262	-0.590468711513725	9.559081613228264e-14	7.400578003716499e-13	9.987378127067713e-12	1.1570717655578144e-10
CHRD	-0.31858931552587644	0.6542592592592593	0.9728485747851358	9.742641398609291e-14	4.815996099224211e-12	1.0113490329266031e-11	5.00655013252637e-10
UBE2S	0.21936560934891486	-0.38533195020746885	-0.6046975595563837	9.85087521341743e-14	1.7805532231122335e-14	1.016029372973631e-11	5.985329659491773e-12
C15orf42	0.19714941569282135	-0.5323463114754099	-0.7294957271682312	1.052860226152066e-13	2.772919585948951e-13	1.079014078903614e-11	5.6491934473741816e-11
NDC80	0.19228714524207013	-0.5095901639344261	-0.7018773091764963	1.187452503156165e-13	2.381486926043783e-13	1.2092475174546007e-11	5.1098095544018144e-11
RALGPS2	-0.4415108514190318	0.23872950819672134	0.6802403596157531	1.2412064964682347e-13	1.5924469121548013e-11	1.2560385237845217e-11	1.378457586748935e-09
GDE1	-0.08247913188647749	0.19122950819672127	0.27370864008319873	1.2892610739642064e-13	5.000248263695742e-13	1.2965131675052552e-11	8.924779400927383e-11
C7orf63	-0.3572231543624161	0.38433609958506226	0.7415592539474783	1.368877688704474e-13	4.595396271727073e-12	1.3680274541152168e-11	4.867436749440075e-10
CENPN	0.20147746243739567	-0.32633196721311475	-0.5278094296505105	1.3785175491811943e-13	2.175667045730979e-12	1.3691572448349022e-11	2.7631018925942713e-10
ZFYVE1	-0.14080133555926544	0.11159836065573771	0.25239969621500313	1.3922801367101887e-13	6.079938082479215e-13	1.3743427852556402e-11	1.0051333703731417e-10
KCNIP1	-0.6608764607679466	0.113483606557377	0.7743600673253236	1.4191853043901368e-13	1.1875001904201961e-08	1.383920699856806e-11	3.5169884494251e-07
KCNJ11	-0.6608764607679466	0.113483606557377	0.7743600673253236	1.4191853043901368e-13	1.1875001904201961e-08	1.383920699856806e-11	3.5169884494251e-07
LDHB	0.3818614357262102	-0.3366390041493778	-0.718500439875588	1.4968460314523203e-13	9.014107167371874e-10	1.4508585931366163e-11	4.185860837852073e-08
SH3BGRL	-0.25412353923205344	0.42293032786885243	0.6770538671009059	1.5516205555812912e-13	5.856757324313364e-13	1.4949038980030498e-11	9.762391609427789e-11
FZD9	0.48673076923076924	-0.10189300411522632	-0.5886237733459956	1.5608692036327678e-13	9.187946832035542e-07	1.4949038980030498e-11	1.3808621434823014e-05
AARS	0.1620617696160267	-0.1874795081967213	-0.349541277812748	1.6175345342359793e-13	3.4690369271903506e-13	1.5400077311157935e-11	6.792913182961378e-11
SH3BP4	-0.26050918196994993	0.16219917012448135	0.42270835209443125	1.7251342772320277e-13	9.667271179762426e-09	1.6327888541566662e-11	2.94086263083904e-07
ITGB5	-0.26601001669449087	0.18211065573770488	0.4481206724321958	1.7566315089834085e-13	1.3052441493908241e-10	1.647188913878777e-11	8.100144384327241e-09
NRTN	0.45217863105175293	-0.09102459016393442	-0.5432032212156873	1.7608234505105633e-13	2.417350221672628e-06	1.647188913878777e-11	3.186002917376428e-05
LRIG1	-0.21406510851419036	0.26624999999999993	0.4803151085141903	1.9885627243666898e-13	3.654993891959485e-10	1.8494782794832393e-11	1.955373257478272e-08
