Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	complement activation, alternative pathway (GO:0006957)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	CFB
GO_Biological_Process_2021	regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002858)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	PVR
GO_Biological_Process_2021	establishment of centrosome localization (GO:0051660)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	MAD2L1
GO_Biological_Process_2021	G-quadruplex DNA unwinding (GO:0044806)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	BLM
GO_Biological_Process_2021	positive regulation of histone H4 acetylation (GO:0090240)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	MUC1
GO_Biological_Process_2021	iron import into cell (GO:0033212)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	CYBRD1
GO_Biological_Process_2021	malate metabolic process (GO:0006108)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	ME2
GO_Biological_Process_2021	positive regulation of type I interferon-mediated signaling pathway (GO:0060340)	1/7	3.448425e-02	2.374532e-01	0	0	3.349158e+01	1.127746e+02	WNT5A
GO_Biological_Process_2021	mitotic DNA damage checkpoint signaling (GO:0044773)	2/59	3.521256e-02	2.374532e-01	0	0	7.104547e+00	2.377432e+01	BLM;NEK11
GO_Biological_Process_2021	homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	2/60	3.631037e-02	2.374532e-01	0	0	6.981703e+00	2.314890e+01	PTPRT;PVR
GO_Biological_Process_2021	O-glycan processing (GO:0016266)	2/61	3.742130e-02	2.374532e-01	0	0	6.863023e+00	2.254857e+01	MUC1;GALNT10
GO_Biological_Process_2021	iron ion homeostasis (GO:0055072)	2/61	3.742130e-02	2.374532e-01	0	0	6.863023e+00	2.254857e+01	SLC40A1;CYBRD1
GO_Biological_Process_2021	aspartate family amino acid biosynthetic process (GO:0009067)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	ASNS
GO_Biological_Process_2021	regulation of apoptotic cell clearance (GO:2000425)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	C4A
GO_Biological_Process_2021	box C/D snoRNP assembly (GO:0000492)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	PIH1D2
GO_Biological_Process_2021	negative regulation of neural precursor cell proliferation (GO:2000178)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	WNT5A
GO_Biological_Process_2021	regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	CENPE
GO_Biological_Process_2021	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	PTPRT
GO_Biological_Process_2021	positive regulation of apoptotic cell clearance (GO:2000427)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	C4A
GO_Biological_Process_2021	excitatory synapse assembly (GO:1904861)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	WNT5A
GO_Biological_Process_2021	forebrain neuron development (GO:0021884)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	WNT5A
GO_Biological_Process_2021	replication fork protection (GO:0048478)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	BLM
GO_Biological_Process_2021	rRNA base methylation (GO:0070475)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	FDXACB1
GO_Biological_Process_2021	positive regulation of neuron projection arborization (GO:0150012)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	WNT5A
GO_Biological_Process_2021	telomeric D-loop disassembly (GO:0061820)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	BLM
GO_Biological_Process_2021	postsynapse organization (GO:0099173)	1/8	3.931350e-02	2.374532e-01	0	0	2.870563e+01	9.289679e+01	WNT5A
GO_Biological_Process_2021	mitotic G1 DNA damage checkpoint signaling (GO:0031571)	2/65	4.199313e-02	2.374532e-01	0	0	6.425980e+00	2.037196e+01	MUC1;GTSE1
GO_Biological_Process_2021	cellular component assembly (GO:0022607)	4/261	4.205422e-02	2.374532e-01	0	0	3.184663e+00	1.009155e+01	WNT5A;REPS2;FANCA;SHROOM1
GO_Biological_Process_2021	amyloid-beta formation (GO:0034205)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	PSEN1
GO_Biological_Process_2021	basement membrane assembly (GO:0070831)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	NTN4
GO_Biological_Process_2021	biotin metabolic process (GO:0006768)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	BTD
GO_Biological_Process_2021	regulation of DNA-templated transcription in response to stress (GO:0043620)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	MUC1
GO_Biological_Process_2021	regulation of histone H4 acetylation (GO:0090239)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	MUC1
GO_Biological_Process_2021	negative regulation of ubiquitin protein ligase activity (GO:1904667)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	MAD2L1
GO_Biological_Process_2021	Notch receptor processing (GO:0007220)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	PSEN1
GO_Biological_Process_2021	positive regulation of macrophage cytokine production (GO:0060907)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	WNT5A
GO_Biological_Process_2021	positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	BNIP3L
GO_Biological_Process_2021	short-chain fatty acid metabolic process (GO:0046459)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	CRAT
GO_Biological_Process_2021	positive regulation of protein kinase C signaling (GO:0090037)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	WNT5A
GO_Biological_Process_2021	protein K6-linked ubiquitination (GO:0085020)	1/9	4.411885e-02	2.374532e-01	0	0	2.511616e+01	7.838423e+01	UBE2S
GO_Biological_Process_2021	organonitrogen compound biosynthetic process (GO:1901566)	3/158	4.488559e-02	2.374532e-01	0	0	3.939807e+00	1.222774e+01	SPTLC2;DEGS2;LPIN1
GO_Biological_Process_2021	positive regulation of protein localization to nucleus (GO:1900182)	2/68	4.555225e-02	2.374532e-01	0	0	6.132962e+00	1.894408e+01	PSEN1;GTSE1
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	2/70	4.798479e-02	2.374532e-01	0	0	5.951981e+00	1.807540e+01	CROT;LPIN1
GO_Biological_Process_2021	negative regulation of cell adhesion mediated by integrin (GO:0033629)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	MUC1
GO_Biological_Process_2021	cellular response to hydroxyurea (GO:0072711)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	BLM
GO_Biological_Process_2021	negative regulation of transcription by competitive promoter binding (GO:0010944)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	MUC1
GO_Biological_Process_2021	neuron projection maintenance (GO:1990535)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	PSEN1
GO_Biological_Process_2021	DNA replication-dependent nucleosome assembly (GO:0006335)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	NASP
GO_Biological_Process_2021	DNA replication-dependent nucleosome organization (GO:0034723)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	NASP
GO_Biological_Process_2021	positive regulation of dendritic spine morphogenesis (GO:0061003)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	LRP8
GO_Biological_Process_2021	iron ion transmembrane transport (GO:0034755)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	SLC40A1
GO_Biological_Process_2021	small nucleolar ribonucleoprotein complex assembly (GO:0000491)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	PIH1D2
GO_Biological_Process_2021	L-glutamate transmembrane transport (GO:0015813)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	SLC25A13
GO_Biological_Process_2021	telomeric loop disassembly (GO:0090657)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	BLM
GO_Biological_Process_2021	mitotic DNA replication (GO:1902969)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	CDC45
GO_Biological_Process_2021	Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953)	1/10	4.890039e-02	2.374532e-01	0	0	2.232435e+01	6.737423e+01	WNT5A
GO_Biological_Process_2021	positive regulation of cellular protein localization (GO:1903829)	2/71	4.921855e-02	2.374532e-01	0	0	5.865424e+00	1.766364e+01	GTSE1;NDC80
GO_Biological_Process_2021	cytoskeleton-dependent cytokinesis (GO:0061640)	2/72	5.046378e-02	2.374532e-01	0	0	5.781341e+00	1.726597e+01	ANLN;CENPA
GO_Biological_Process_2021	cellular protein-containing complex assembly (GO:0034622)	3/168	5.215487e-02	2.374532e-01	0	0	3.699157e+00	1.092560e+01	ANLN;CENPE;CENPA
GO_Biological_Process_2021	sphingolipid biosynthetic process (GO:0030148)	2/74	5.298809e-02	2.374532e-01	0	0	5.620181e+00	1.651034e+01	SPTLC2;DEGS2
GO_Biological_Process_2021	protein oxidation (GO:0018158)	1/11	5.365826e-02	2.374532e-01	0	0	2.009091e+01	5.876832e+01	LOXL1
